id_venta,id_producto,cantidad,precio_unitario,importe
107,5,4,4777,19108
108,90,4,2902,11608
109,18,1,3444,3444
109,74,1,2953,2953
109,20,2,1571,3142
109,44,5,2979,14895
110,6,1,4170,4170
110,59,3,3612,10836
110,6,5,4170,20850
111,97,4,872,3488
111,93,3,2142,6426
111,20,2,1571,3142
111,23,4,2380,9520
112,55,1,1407,1407
112,21,4,272,1088
112,43,5,887,4435
112,13,2,2383,4766
112,59,1,3612,3612
113,53,2,1664,3328
113,92,3,2512,7536
114,8,1,4218,4218
114,84,1,1645,1645
114,10,1,4883,4883
114,55,5,1407,7035
114,92,4,2512,10048
115,17,4,4834,19336
115,97,5,872,4360
115,95,4,1581,6324
115,84,2,1645,3290
116,65,1,2423,2423
116,35,2,4430,8860
116,42,4,1195,4780
116,54,5,1592,7960
116,90,4,2902,11608
117,67,4,4719,18876
117,61,2,4982,9964
118,68,5,2684,13420
118,68,3,2684,8052
118,70,2,4061,8122
118,93,3,2142,6426
118,50,2,727,1454
119,45,5,745,3725
120,20,5,1571,7855
